participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P07,valence,1,5,92,24,24,92,logreg,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5145833333333333,0.5066666666666667,False
P07,valence,1,5,92,24,24,92,logreg,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.49080882352941174,0.4791666666666667,False
P07,valence,1,5,92,24,24,92,logreg,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.47328431372549024,0.3958333333333333,False
P07,valence,1,5,92,24,24,92,svm,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.55625,0.5,False
P07,valence,1,5,92,24,24,92,svm,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P07,valence,1,5,92,24,24,92,svm,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5051470588235294,0.5,False
P07,valence,1,5,92,24,24,92,gnb,all_eeg,all_channels,8,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.4583333333333333,0.38666666666666666,False
P07,valence,1,5,92,24,24,92,gnb,all_eeg,all_channels,8,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.49264705882352944,0.5089285714285714,False
P07,valence,1,5,92,24,24,92,gnb,all_eeg,all_channels,8,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.41053921568627455,0.6458333333333333,False
P07,valence,1,5,92,24,24,92,logreg,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5479166666666667,0.4666666666666667,False
P07,valence,1,5,92,24,24,92,logreg,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.48100490196078427,0.4583333333333333,False
P07,valence,1,5,92,24,24,92,logreg,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5045343137254902,0.4791666666666667,False
P07,valence,1,5,92,24,24,92,svm,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5479166666666667,0.5,False
P07,valence,1,5,92,24,24,92,svm,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P07,valence,1,5,92,24,24,92,svm,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P07,valence,1,5,92,24,24,92,gnb,all_eeg,all_channels,10,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.5125000000000001,0.49,False
P07,valence,1,5,92,24,24,92,gnb,all_eeg,all_channels,10,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.5220588235294118,0.5089285714285714,False
P07,valence,1,5,92,24,24,92,gnb,all_eeg,all_channels,10,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.4099264705882353,0.625,False
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,primary,16,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.48125,0.6333333333333333,True
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,primary,16,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5318627450980392,0.5505952380952381,True
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,8,primary,16,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.49031862745098037,0.5208333333333333,True
