participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P19,arousal,1,5,96,24,65,55,logreg,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.6045454545454545,0.4725490196078431,False
P19,arousal,1,5,96,24,65,55,logreg,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.6047979797979798,0.5568627450980392,False
P19,arousal,1,5,96,24,65,55,logreg,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.4441919191919192,0.6349206349206349,False
P19,arousal,1,5,96,24,65,55,svm,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6015151515151514,0.43137254901960786,False
P19,arousal,1,5,96,24,65,55,svm,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.6344276094276095,0.615686274509804,False
P19,arousal,1,5,96,24,65,55,svm,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5472222222222222,0.4801587301587301,False
P19,arousal,1,5,96,24,65,55,gnb,all_eeg,all_channels,8,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.627104377104377,0.39803921568627454,False
P19,arousal,1,5,96,24,65,55,gnb,all_eeg,all_channels,8,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.522053872053872,0.4980392156862745,False
P19,arousal,1,5,96,24,65,55,gnb,all_eeg,all_channels,8,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.4262626262626263,0.6428571428571428,False
P19,arousal,1,5,96,24,65,55,logreg,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5715488215488216,0.4392156862745098,False
P19,arousal,1,5,96,24,65,55,logreg,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5920875420875421,0.5607843137254902,False
P19,arousal,1,5,96,24,65,55,logreg,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.4429292929292929,0.6349206349206349,False
P19,arousal,1,5,96,24,65,55,svm,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6305555555555555,0.43529411764705883,False
P19,arousal,1,5,96,24,65,55,svm,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6031986531986532,0.6745098039215687,False
P19,arousal,1,5,96,24,65,55,svm,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5080808080808081,0.5555555555555556,False
P19,arousal,1,5,96,24,65,55,gnb,all_eeg,all_channels,10,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.6437710437710439,0.43137254901960786,False
P19,arousal,1,5,96,24,65,55,gnb,all_eeg,all_channels,10,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.5235690235690235,0.5568627450980392,False
P19,arousal,1,5,96,24,65,55,gnb,all_eeg,all_channels,10,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.4262626262626263,0.6706349206349207,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5749158249158249,0.5647058823529412,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5920875420875421,0.5607843137254902,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5277777777777778,0.5992063492063493,False
P19,arousal,1,5,96,24,65,55,svm,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6598484848484848,0.5823529411764705,False
P19,arousal,1,5,96,24,65,55,svm,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.6337542087542087,0.615686274509804,False
P19,arousal,1,5,96,24,65,55,svm,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5777777777777778,0.4801587301587301,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,all_channels,8,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.6132154882154882,0.4980392156862745,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,all_channels,8,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.5615319865319864,0.5313725490196078,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,all_channels,8,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.5398989898989899,0.5714285714285714,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5569865319865319,0.6274509803921569,True
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.6406565656565656,0.5941176470588235,True
