participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P15,arousal,1,5,89,23,23,89,logreg,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5666666666666667,0.5,False
P15,arousal,1,5,89,23,23,89,logreg,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.46527777777777773,0.4791666666666667,False
P15,arousal,1,5,89,23,23,89,logreg,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.6041666666666666,0.42391304347826086,False
P15,arousal,1,5,89,23,23,89,svm,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.4583333333333333,False
P15,arousal,1,5,89,23,23,89,svm,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P15,arousal,1,5,89,23,23,89,svm,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.6041666666666666,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,all_eeg,all_channels,8,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.45694444444444443,0.4375,False
P15,arousal,1,5,89,23,23,89,gnb,all_eeg,all_channels,8,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.41180555555555554,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,all_eeg,all_channels,8,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.4895833333333333,0.32608695652173914,False
P15,arousal,1,5,89,23,23,89,logreg,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.47291666666666665,0.6041666666666666,False
P15,arousal,1,5,89,23,23,89,logreg,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.43472222222222223,0.4583333333333333,False
P15,arousal,1,5,89,23,23,89,logreg,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5729166666666666,0.36231884057971014,False
P15,arousal,1,5,89,23,23,89,svm,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P15,arousal,1,5,89,23,23,89,svm,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P15,arousal,1,5,89,23,23,89,svm,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5625,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,all_eeg,all_channels,10,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.39375,0.4583333333333333,False
P15,arousal,1,5,89,23,23,89,gnb,all_eeg,all_channels,10,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.40138888888888885,0.4375,False
P15,arousal,1,5,89,23,23,89,gnb,all_eeg,all_channels,10,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.4791666666666667,0.32608695652173914,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5583333333333333,0.5416666666666666,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.4875,0.4583333333333333,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5104166666666666,0.45289855072463764,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6416666666666667,0.5,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5833333333333334,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,all_channels,8,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.45694444444444443,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,all_channels,8,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.4673611111111111,0.4375,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,all_channels,8,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.4895833333333333,0.45289855072463764,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5243055555555555,0.4375,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.4666666666666666,0.4583333333333333,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.4895833333333333,0.40942028985507245,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5243055555555555,0.5,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5729166666666666,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,all_channels,10,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.4138888888888889,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,all_channels,10,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.48819444444444443,0.4375,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,all_channels,10,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.4375,0.3442028985507246,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.45763888888888893,0.5,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.45694444444444443,0.4791666666666667,False
P15,arousal,1,5,89,23,23,89,logreg,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.625,0.44565217391304346,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P15,arousal,1,5,89,23,23,89,svm,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.65625,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__var_smoothing"": 1e-11}",0.4451388888888889,0.5,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__var_smoothing"": 1e-11}",0.4986111111111111,0.4583333333333333,False
P15,arousal,1,5,89,23,23,89,gnb,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__var_smoothing"": 1e-11}",0.5833333333333334,0.40942028985507245,False
